ID,NOM,NOM_M,INSEE_COM,STATUT,POPULATION,INSEE_CAN,INSEE_ARR,INSEE_DEP,INSEE_REG,SIREN_EPCI
COMMUNE_0000000009735727,Ploubazlanec,PLOUBAZLANEC,22210,Commune simple,3040,11,2,22,53,200067981
COMMUNE_0000000009739463,Jugon-les-Lacs,JUGON-LES-LACS,22084,Commune simple,2529,16,4,22,53,200069391
COMMUNE_0000002340805918,La Chapelle-Fleurigné,LA CHAPELLE-FLEURIGNE,35062,Commune simple,2409,09,1,35,53,200072452
COMMUNE_0000000009742080,Bénodet,BENODET,29006,Commune simple,3790,11,4,29,53,242900660
COMMUNE_0000000009738159,Île-Molène,ILE-MOLENE,29084,Commune simple,164,27,1,29,53,242900074
COMMUNE_0000000009744365,Damgan,DAMGAN,56052,Commune simple,1917,11,3,56,53,200027027
COMMUNE_0000000009743035,Merlevenez,MERLEVENEZ,56130,Commune simple,3203,14,1,56,53,245600440
COMMUNE_0000000009743364,Sainte-Hélène,SAINTE-HELENE,56220,Commune simple,1294,14,1,56,53,245600440
COMMUNE_0000000009743034,Nostang,NOSTANG,56148,Commune simple,1626,14,1,56,53,245600440
COMMUNE_0000000009743033,Landaul,LANDAUL,56096,Commune simple,2458,14,1,56,53,200043123
COMMUNE_0000000009740716,Beuzec-Cap-Sizun,BEUZEC-CAP-SIZUN,29008,Commune simple,1012,10,4,29,53,242900629
COMMUNE_0000000009740279,Saint-Jouan-de-l'Isle,SAINT-JOUAN-DE-L'ISLE,22305,Commune simple,469,02,1,22,53,200068989
COMMUNE_0000000009739453,Saint-Carné,SAINT-CARNE,22280,Commune simple,1096,08,1,22,53,200068989
COMMUNE_0000000009736257,Rospez,ROSPEZ,22265,Commune simple,1787,07,3,22,53,200065928
COMMUNE_0000000009742694,Tréal,TREAL,56253,Commune simple,660,04,3,56,53,200066785
COMMUNE_0000000009738534,Plancoët,PLANCOET,22172,Commune simple,3057,14,1,22,53,200068989
COMMUNE_0000000009739461,Languédias,LANGUEDIAS,22104,Commune simple,553,14,1,22,53,200068989
COMMUNE_0000000009742376,Guénin,GUENIN,56074,Commune simple,1856,15,2,56,53,200096675
COMMUNE_0000000009745239,Bangor,BANGOR,56009,Commune simple,1010,17,1,56,53,245600465
COMMUNE_0000000009741062,Saint-Gonnery,SAINT-GONNERY,56215,Commune simple,1093,15,2,56,53,245614433
COMMUNE_0000000009742075,Concarneau,CONCARNEAU,29039,Commune simple,20607,08,4,29,53,242900769
COMMUNE_0000000009744048,La Trinité-sur-Mer,LA TRINITE-SUR-MER,56258,Commune simple,1768,17,1,56,53,200043123
COMMUNE_0000000009739018,Kerpert,KERPERT,22092,Commune simple,269,03,2,22,53,200067981
COMMUNE_0000000009737653,Saint-Malo,SAINT-MALO,35288,Sous-préfecture,47323,99,4,35,53,243500782
COMMUNE_0000000009742040,Bourgbarré,BOURGBARRE,35032,Commune simple,4580,12,3,35,53,243500139
COMMUNE_0000000009740697,Plélauff,PLELAUFF,22181,Commune simple,657,23,2,22,53,242200715
COMMUNE_0000000009743027,Locqueltas,LOCQUELTAS,56120,Commune simple,1954,03,3,56,53,200067932
COMMUNE_0000000009741431,Pontivy,PONTIVY,56178,Sous-préfecture,14774,15,2,56,53,245614433
COMMUNE_0000000009741057,Coëtlogon,COETLOGON,22043,Commune simple,217,09,4,22,53,200067460
COMMUNE_0000000009742360,Porcaro,PORCARO,56180,Commune simple,744,04,3,56,53,200066785
COMMUNE_0000000009734743,Perros-Guirec,PERROS-GUIREC,22168,Commune simple,7175,12,3,22,53,200065928
COMMUNE_0000000009741725,Bréal-sous-Vitré,BREAL-SOUS-VITRE,35038,Commune simple,620,27,1,35,53,200039022
COMMUNE_0000000009740701,Tréogan,TREOGAN,22373,Commune simple,108,23,2,22,53,242900744
COMMUNE_0000000009742702,Lizio,LIZIO,56112,Commune simple,775,10,3,56,53,200066785
COMMUNE_0000000009742054,Helléan,HELLEAN,56082,Commune simple,382,13,2,56,53,200066777
COMMUNE_0000000009741753,Néant-sur-Yvel,NEANT-SUR-YVEL,56145,Commune simple,1094,13,2,56,53,200066777
COMMUNE_0000000009737214,Saint-Gilles-les-Bois,SAINT-GILLES-LES-BOIS,22293,Commune simple,392,22,2,22,53,200069086
COMMUNE_0000000009739476,Plœuc-L'Hermitage,PLŒUC-L'HERMITAGE,22203,Commune simple,4112,13,4,22,53,200069409
COMMUNE_0000000009740283,Mérillac,MERILLAC,22148,Commune simple,236,02,4,22,53,200067460
COMMUNE_0000000009738520,Le Tronchet,LE TRONCHET,35362,Commune simple,1204,07,4,35,53,243500782
COMMUNE_0000000009737248,Le Folgoët,LE FOLGOET,29055,Commune simple,3264,15,1,29,53,242900793
COMMUNE_0000000009743352,Le Cours,LE COURS,56045,Commune simple,675,16,3,56,53,245614383
COMMUNE_0000000009741735,Châteaugiron,CHATEAUGIRON,35069,Commune simple,10518,05,3,35,53,243500659
COMMUNE_0000000009743340,Saint-Just,SAINT-JUST,35285,Commune simple,1087,17,2,35,53,243500741
COMMUNE_0000000009736735,Pontrieux,PONTRIEUX,22250,Commune simple,998,01,2,22,53,200067981
COMMUNE_0000000009739467,Penguily,PENGUILY,22165,Commune simple,607,16,4,22,53,200069391
COMMUNE_0000000009736251,Quemperven,QUEMPERVEN,22257,Commune simple,404,01,3,22,53,200065928
COMMUNE_0000000009741744,Chavagne,CHAVAGNE,35076,Commune simple,4415,24,3,35,53,243500139
COMMUNE_0000000009740662,Melesse,MELESSE,35173,Commune simple,7260,14,3,35,53,243500667
COMMUNE_0000000009740704,Roudouallec,ROUDOUALLEC,56199,Commune simple,709,02,2,56,53,245614417
COMMUNE_0000000009742718,Moëlan-sur-Mer,MOELAN-SUR-MER,29150,Commune simple,6756,16,4,29,53,242900694
COMMUNE_0000000009741080,Le Juch,LE JUCH,29087,Commune simple,742,10,4,29,53,242900645
COMMUNE_0000000009736770,Plouguerneau,PLOUGUERNEAU,29195,Commune simple,6682,15,1,29,53,242900553
COMMUNE_0000000009742044,Lassy,LASSY,35149,Commune simple,1802,11,2,35,53,200043990
COMMUNE_0000000009742029,Domalain,DOMALAIN,35097,Commune simple,2021,10,1,35,53,200039022
COMMUNE_0000000009743360,Pluneret,PLUNERET,56176,Commune simple,6140,01,1,56,53,200043123
COMMUNE_0000000009739851,Romazy,ROMAZY,35244,Commune simple,266,01,1,35,53,200070688
COMMUNE_0000000009737663,Fréhel,FREHEL,22179,Commune simple,1608,17,1,22,53,200068989
COMMUNE_0000000009737715,Ouessant,OUESSANT,29155,Commune simple,838,27,1,29,53,NR
COMMUNE_0000000009742057,Radenac,RADENAC,56189,Commune simple,1067,03,2,56,53,245614433
COMMUNE_0000000009737694,Plougourvest,PLOUGOURVEST,29193,Commune simple,1467,14,3,29,53,242900751
COMMUNE_0000000009738523,Miniac-Morvan,MINIAC-MORVAN,35179,Commune simple,4311,07,4,35,53,243500782
COMMUNE_0000000009739455,Trévron,TREVRON,22380,Commune simple,684,08,1,22,53,200068989
COMMUNE_0000000009736747,Trédrez-Locquémeau,TREDREZ-LOCQUEMEAU,22349,Commune simple,1456,20,3,22,53,200065928
COMMUNE_0000000009741031,Balazé,BALAZE,35015,Commune simple,2199,27,1,35,53,200039022
COMMUNE_0000000009743719,Groix,GROIX,56069,Commune simple,2282,09,1,56,53,200042174
COMMUNE_0000000009736729,Pléhédel,PLEHEDEL,22178,Commune simple,1327,11,2,22,53,200067981
COMMUNE_0000000009745538,Locmaria,LOCMARIA,56114,Commune simple,964,17,1,56,53,245600465
COMMUNE_0000000009740291,Saint-Thélo,SAINT-THELO,22330,Commune simple,378,10,4,22,53,200067460
COMMUNE_0000000009739015,Plésidy,PLESIDY,22189,Commune simple,563,03,2,22,53,200067981
COMMUNE_0000000009740714,Kerlaz,KERLAZ,29090,Commune simple,792,10,4,29,53,242900645
COMMUNE_0000000009738581,Loperhet,LOPERHET,29140,Commune simple,3951,21,1,29,53,242900801
COMMUNE_0000000009738129,Loguivy-Plougras,LOGUIVY-PLOUGRAS,22131,Commune simple,792,20,3,22,53,200065928
COMMUNE_0000000009741044,Saint-Gilles,SAINT-GILLES,35275,Commune simple,5402,14,3,35,53,243500139
COMMUNE_0000000009738091,Hirel,HIREL,35132,Commune simple,1386,07,4,35,53,243500782
COMMUNE_0000000009735741,Pleumeur-Bodou,PLEUMEUR-BODOU,22198,Commune simple,3809,12,3,22,53,200065928
COMMUNE_0000000009736767,Kerlouan,KERLOUAN,29091,Commune simple,2058,15,1,29,53,242900793
COMMUNE_0000000009739456,Le Hinglé,LE HINGLE,22082,Commune simple,907,08,1,22,53,200068989
COMMUNE_0000000009738557,Saint-Adrien,SAINT-ADRIEN,22271,Commune simple,359,03,2,22,53,200067981
COMMUNE_0000000009740686,Trévé,TREVE,22376,Commune simple,1684,10,4,22,53,200067460
COMMUNE_0000000009740698,Lescouët-Gouarec,LESCOUET-GOUAREC,22124,Commune simple,214,23,2,22,53,242200715
COMMUNE_0000000009743706,Sulniac,SULNIAC,56247,Commune simple,3829,16,3,56,53,200067932
COMMUNE_0000000009737699,Bodilis,BODILIS,29010,Commune simple,1677,14,3,29,53,242900751
COMMUNE_0000000009736761,Cléder,CLEDER,29030,Commune simple,3594,26,3,29,53,200067072
COMMUNE_0000000009741093,Cléden-Cap-Sizun,CLEDEN-CAP-SIZUN,29028,Commune simple,910,10,4,29,53,242900629
COMMUNE_0000000009738109,Hénanbihen,HENANBIHEN,22076,Commune simple,1378,17,4,22,53,200069391
COMMUNE_0000000009742387,Trégunc,TREGUNC,29293,Commune simple,7050,16,4,29,53,242900769
COMMUNE_0000000009742035,Amanlis,AMANLIS,35002,Commune simple,1762,12,1,35,53,243500634
COMMUNE_0000000009738541,Lamballe-Armor,LAMBALLE-ARMOR,22093,Commune simple,16845,89,4,22,53,200069391
COMMUNE_0000000009740710,Quéménéven,QUEMENEVEN,29229,Commune simple,1111,09,4,29,53,200068120
COMMUNE_0000000009741727,Étrelles,ETRELLES,35109,Commune simple,2640,10,1,35,53,200039022
COMMUNE_0000000009736749,Tréduder,TREDUDER,22350,Commune simple,192,20,3,22,53,200065928
COMMUNE_0000000009738584,Brest,BREST,29019,Sous-préfecture,139619,98,1,29,53,242900314
COMMUNE_0000000009738588,Ploumoguer,PLOUMOGUER,29201,Commune simple,2120,27,1,29,53,242900074
COMMUNE_0000000009739490,Locarn,LOCARN,22128,Commune simple,409,23,2,22,53,242200715
COMMUNE_0000000009740680,Loscouët-sur-Meu,LOSCOUET-SUR-MEU,22133,Commune simple,630,02,4,22,53,200067460
COMMUNE_0000000009737688,Plouégat-Moysan,PLOUEGAT-MOYSAN,29183,Commune simple,718,20,3,29,53,242900835
COMMUNE_0000000009741082,Poullan-sur-Mer,POULLAN-SUR-MER,29226,Commune simple,1472,10,4,29,53,242900645
COMMUNE_0000000009742380,Calan,CALAN,56029,Commune simple,1257,05,1,56,53,200042174
COMMUNE_0000000009738087,Saint-Broladre,SAINT-BROLADRE,35259,Commune simple,1152,07,4,35,53,200070670
COMMUNE_0000000009736249,Tréguier,TREGUIER,22362,Commune simple,2409,27,3,22,53,200065928
COMMUNE_0000000009741426,Rohan,ROHAN,56198,Commune simple,1573,03,2,56,53,245614433
COMMUNE_0000000009738125,Grâces,GRACES,22067,Commune simple,2576,05,2,22,53,200067981
COMMUNE_0000000009742025,Gennes-sur-Seiche,GENNES-SUR-SEICHE,35119,Commune simple,941,10,1,35,53,200039022
COMMUNE_0000000009736740,Prat,PRAT,22254,Commune simple,1103,01,3,22,53,200065928
COMMUNE_0000000009735728,Île-de-Bréhat,ILE-DE-BREHAT,22016,Commune simple,402,11,4,22,53,NR
COMMUNE_0000000009740709,Briec,BRIEC,29020,Commune simple,5808,06,4,29,53,200068120
COMMUNE_0000000009739458,Bobital,BOBITAL,22008,Commune simple,1139,08,1,22,53,200068989
COMMUNE_0000000009744659,La Roche-Bernard,LA ROCHE-BERNARD,56195,Commune simple,695,11,3,56,53,200027027
COMMUNE_0000000009739912,Crozon,CROZON,29042,Commune simple,7321,09,2,29,53,200066868
COMMUNE_0000000009737685,Plounévez-Moëdec,PLOUNEVEZ-MOEDEC,22228,Commune simple,1467,20,3,22,53,200065928
COMMUNE_0000000009741448,Quimper,QUIMPER,29232,Préfecture,63642,99,4,29,53,200068120
COMMUNE_0000000009744363,Le Guerno,LE GUERNO,56077,Commune simple,983,11,3,56,53,200027027
COMMUNE_0000000009738096,Saint-Suliac,SAINT-SULIAC,35314,Commune simple,963,07,4,35,53,243500782
COMMUNE_0000000009735246,Penvénan,PENVENAN,22166,Commune simple,2511,27,3,22,53,200065928
COMMUNE_0000000009743337,Sainte-Anne-sur-Vilaine,SAINTE-ANNE-SUR-VILAINE,35249,Commune simple,1037,02,2,35,53,200070662
COMMUNE_0000000009738158,Lampaul-Plouarzel,LAMPAUL-PLOUARZEL,29098,Commune simple,2153,27,1,29,53,242900074
COMMUNE_0000000009743018,Ruffiac,RUFFIAC,56200,Commune simple,1370,10,3,56,53,200066785
COMMUNE_0000000009743696,Sainte-Marie,SAINTE-MARIE,35294,Commune simple,2266,17,2,35,53,243500741
COMMUNE_0000000009736244,Plourivo,PLOURIVO,22233,Commune simple,2263,11,2,22,53,200067981
COMMUNE_0000000009738989,Saint-Maudez,SAINT-MAUDEZ,22315,Commune simple,284,14,1,22,53,200068989
COMMUNE_0000000009738565,Calanhel,CALANHEL,22024,Commune simple,227,03,2,22,53,200067981
COMMUNE_0000000009741760,Crédin,CREDIN,56047,Commune simple,1498,03,2,56,53,245614433
COMMUNE_0000000009738554,Cohiniac,COHINIAC,22045,Commune simple,380,15,2,22,53,200069086
COMMUNE_0000000009741389,Saint-Aubin-des-Landes,SAINT-AUBIN-DES-LANDES,35252,Commune simple,918,27,1,35,53,200039022
COMMUNE_0000000009742389,Île-Tudy,ILE-TUDY,29085,Commune simple,741,19,4,29,53,242900702
COMMUNE_0000000009738160,Le Conquet,LE CONQUET,29040,Commune simple,2799,27,1,29,53,242900074
COMMUNE_0000000009739014,Senven-Léhart,SENVEN-LEHART,22335,Commune simple,239,03,2,22,53,200067981
COMMUNE_0000000009739024,Plourac'h,PLOURAC'H,22231,Commune simple,339,03,2,22,53,200067981
COMMUNE_0000000009743341,Renac,RENAC,35237,Commune simple,1036,17,2,35,53,243500741
COMMUNE_0000000009737212,Gommenec'h,GOMMENEC'H,22063,Commune simple,550,22,2,22,53,200069086
COMMUNE_0000000009739866,Saint-Juvat,SAINT-JUVAT,22308,Commune simple,649,08,1,22,53,200068989
COMMUNE_0000000009741425,Le Cambout,LE CAMBOUT,22027,Commune simple,411,09,4,22,53,200067460
COMMUNE_0000000009743356,Saint-Avé,SAINT-AVE,56206,Commune simple,11927,21,3,56,53,200067932
COMMUNE_0000000009737700,Trémaouézan,TREMAOUEZAN,29295,Commune simple,502,13,1,29,53,242900801
COMMUNE_0000000009737219,Brélidy,BRELIDY,22018,Commune simple,304,01,2,22,53,200067981
COMMUNE_0000000009738982,Lanvallay,LANVALLAY,22118,Commune simple,4222,08,1,22,53,200068989
COMMUNE_0000000009737223,Le Vieux-Marché,LE VIEUX-MARCHE,22387,Commune simple,1273,20,3,22,53,200065928
COMMUNE_0000000009738519,Baguer-Morvan,BAGUER-MORVAN,35009,Commune simple,1698,07,4,35,53,200070670
COMMUNE_0000000009739450,Trévérien,TREVERIEN,35345,Commune simple,910,06,4,35,53,243500733
COMMUNE_0000000009742064,Lanvaudan,LANVAUDAN,56104,Commune simple,807,05,1,56,53,200042174
COMMUNE_0000000009742081,Combrit,COMBRIT,29037,Commune simple,4247,19,4,29,53,242900702
COMMUNE_0000000009739500,Pont-de-Buis-lès-Quimerch,PONT-DE-BUIS-LES-QUIMERCH,29302,Commune simple,3595,21,2,29,53,200066868
COMMUNE_0000000009739872,Yvignac-la-Tour,YVIGNAC-LA-TOUR,22391,Commune simple,1113,02,1,22,53,200068989
COMMUNE_0000000009739495,Collorec,COLLOREC,29036,Commune simple,597,07,2,29,53,242900561
COMMUNE_0000000009743368,Port-Louis,PORT-LOUIS,56181,Commune simple,2679,06,1,56,53,200042174
COMMUNE_0000000009737220,Coatascorn,COATASCORN,22041,Commune simple,255,01,3,22,53,200065928
COMMUNE_0000000009738111,La Bouillie,LA BOUILLIE,22012,Commune simple,865,17,4,22,53,200069391
COMMUNE_0000002200276542,Saint-Marc-le-Blanc,SAINT-MARC-LE-BLANC,35292,Commune simple,1588,01,1,35,53,200070688
COMMUNE_0000000009742673,Retiers,RETIERS,35239,Commune simple,4540,10,1,35,53,243500634
COMMUNE_0000000009744940,Sauzon,SAUZON,56241,Commune simple,1027,17,1,56,53,245600465
COMMUNE_0000000009743361,Plumergat,PLUMERGAT,56175,Commune simple,4179,01,1,56,53,200043123
COMMUNE_0000000009738155,Lanrivoaré,LANRIVOARE,29119,Commune simple,1512,27,1,29,53,242900074
COMMUNE_0000000009741730,Saint-Didier,SAINT-DIDIER,35264,Commune simple,2035,05,1,35,53,200039022
COMMUNE_0000000009738533,Corseul,CORSEUL,22048,Commune simple,2223,14,1,22,53,200068989
COMMUNE_0000000009739885,Le Bodéo,LE BODEO,22009,Commune simple,170,13,4,22,53,200069409
COMMUNE_0000000009741758,Pleugriffet,PLEUGRIFFET,56160,Commune simple,1286,03,2,56,53,245614433
COMMUNE_0000000009742374,Plumelin,PLUMELIN,56174,Commune simple,2796,03,2,56,53,200096683
COMMUNE_0000000009742347,Saulnières,SAULNIERES,35321,Commune simple,795,02,2,35,53,200070662
COMMUNE_0000000009737236,Plouénan,PLOUENAN,29184,Commune simple,2567,26,3,29,53,200067072
COMMUNE_0000000009741438,Lignol,LIGNOL,56110,Commune simple,849,02,2,56,53,245614417
COMMUNE_0000000009741407,Cintré,CINTRE,35080,Commune simple,2533,24,3,35,53,243500139
COMMUNE_0000000009740278,La Chapelle-Blanche,LA CHAPELLE-BLANCHE,22036,Commune simple,211,02,1,22,53,200068989
COMMUNE_0000000009739843,Romagné,ROMAGNE,35243,Commune simple,2440,08,1,35,53,200072452
COMMUNE_0000000009741073,Trégourez,TREGOUREZ,29291,Commune simple,957,06,2,29,53,242900561
COMMUNE_0000000009738103,Le Minihic-sur-Rance,LE MINIHIC-SUR-RANCE,35181,Commune simple,1489,26,4,35,53,243500725
COMMUNE_0000000009738970,Vieux-Viel,VIEUX-VIEL,35354,Commune simple,327,07,4,35,53,200070670
COMMUNE_0000000009739011,Le Vieux-Bourg,LE VIEUX-BOURG,22386,Commune simple,777,15,4,22,53,200069409
COMMUNE_0000000009737708,Bourg-Blanc,BOURG-BLANC,29015,Commune simple,3542,18,1,29,53,242900553
COMMUNE_0000000009744664,Billiers,BILLIERS,56018,Commune simple,1047,11,3,56,53,200027027
COMMUNE_0000000009742716,Gestel,GESTEL,56063,Commune simple,2592,05,1,56,53,200042174
COMMUNE_0000000009739489,Duault,DUAULT,22052,Commune simple,382,03,2,22,53,200067981
COMMUNE_0000000009741071,Le Saint,LE SAINT,56201,Commune simple,600,02,2,56,53,245614417
COMMUNE_0000002200276587,Ploërmel,PLOERMEL,56165,Commune simple,9879,13,2,56,53,200066777
COMMUNE_0000000009741440,Le Croisty,LE CROISTY,56048,Commune simple,732,02,2,56,53,245614417
COMMUNE_0000000009743005,Bain-de-Bretagne,BAIN-DE-BRETAGNE,35012,Commune simple,7570,02,2,35,53,200070662
COMMUNE_0000000009737230,Garlan,GARLAN,29059,Commune simple,1051,20,3,29,53,242900835
COMMUNE_0000000009741780,Plomelin,PLOMELIN,29170,Commune simple,4187,23,4,29,53,200068120
COMMUNE_0000000009741436,Saint-Caradec-Trégomel,SAINT-CARADEC-TREGOMEL,56210,Commune simple,470,02,2,56,53,245614417
COMMUNE_0000000009741055,Ménéac,MENEAC,56129,Commune simple,1489,13,2,56,53,200066777
COMMUNE_0000000009739468,La Malhoure,LA MALHOURE,22140,Commune simple,616,06,4,22,53,200069391
COMMUNE_0000000009742714,Quéven,QUEVEN,56185,Commune simple,8790,12,1,56,53,200042174
COMMUNE_0000000009742678,La Couyère,LA COUYERE,35089,Commune simple,446,02,2,35,53,200070662
COMMUNE_0000000009737215,Saint-Clet,SAINT-CLET,22283,Commune simple,872,01,2,22,53,200067981
COMMUNE_0000000009742043,Goven,GOVEN,35123,Commune simple,4309,11,2,35,53,200043990
COMMUNE_0000000009738997,Saint-Rieul,SAINT-RIEUL,22326,Commune simple,545,06,4,22,53,200069391
COMMUNE_0000000009742077,Fouesnant,FOUESNANT,29058,Commune simple,10098,11,4,29,53,242900660
COMMUNE_0000000009738538,Landébia,LANDEBIA,22096,Commune simple,447,14,1,22,53,200068989
COMMUNE_0000000009738512,Sougeal,SOUGEAL,35329,Commune simple,540,07,4,35,53,200070670
COMMUNE_0000000009741049,La Nouaye,LA NOUAYE,35203,Commune simple,353,16,3,35,53,243500550
COMMUNE_0000000009744039,Lauzach,LAUZACH,56109,Commune simple,1199,16,3,56,53,245614383
COMMUNE_0000000009739437,Maen Roch,MAEN ROCH,35257,Commune simple,5097,01,1,35,53,200070688
COMMUNE_0000000009741396,Noyal-sur-Vilaine,NOYAL-SUR-VILAINE,35207,Commune simple,6116,05,3,35,53,243500659
COMMUNE_0000000009738134,Botsorhel,BOTSORHEL,29014,Commune simple,429,20,3,29,53,242900835
COMMUNE_0000000009742691,Comblessac,COMBLESSAC,35084,Commune simple,683,11,2,35,53,200043990
COMMUNE_0000000009737228,Trémel,TREMEL,22366,Commune simple,404,20,3,22,53,200065928
COMMUNE_0000000009738562,Pont-Melvez,PONT-MELVEZ,22249,Commune simple,607,03,2,22,53,200067981
COMMUNE_0000000009738518,Dol-de-Bretagne,DOL-DE-BRETAGNE,35095,Commune simple,5767,07,4,35,53,200070670
COMMUNE_0000000009737209,Tréméven,TREMEVEN,22370,Commune simple,352,22,2,22,53,200069086
COMMUNE_0000000009736734,Quemper-Guézennec,QUEMPER-GUEZENNEC,22256,Commune simple,1057,01,2,22,53,200067981
COMMUNE_0000000009739000,Landéhen,LANDEHEN,22098,Commune simple,1442,06,4,22,53,200069391
COMMUNE_0000000009739482,Saint-Gilles-Pligeaux,SAINT-GILLES-PLIGEAUX,22294,Commune simple,305,23,2,22,53,242200715
COMMUNE_0000000009738563,Bulat-Pestivien,BULAT-PESTIVIEN,22023,Commune simple,412,03,2,22,53,200067981
COMMUNE_0000000009739901,Cléden-Poher,CLEDEN-POHER,29029,Commune simple,1129,07,2,29,53,242900744
COMMUNE_0000000009740695,Silfiac,SILFIAC,56245,Commune simple,483,02,2,56,53,245614433
COMMUNE_0000000009742346,Essé,ESSE,35108,Commune simple,1036,10,1,35,53,243500634
COMMUNE_0000000009737235,Plouvorn,PLOUVORN,29210,Commune simple,2907,14,3,29,53,242900751
COMMUNE_0000000009739852,Chauvigné,CHAUVIGNE,35075,Commune simple,812,01,1,35,53,200070688
COMMUNE_0000000009737239,Tréflaouénan,TREFLAOUENAN,29285,Commune simple,521,26,3,29,53,200067072
COMMUNE_0000000009741752,Tréhorenteuc,TREHORENTEUC,56256,Commune simple,114,13,2,56,53,200066777
COMMUNE_0000000009740267,Saint-Gondran,SAINT-GONDRAN,35276,Commune simple,607,14,3,35,53,243500667
COMMUNE_0000000009739013,Le Leslay,LE LESLAY,22126,Commune simple,155,15,4,22,53,200069409
COMMUNE_0000000009741731,Louvigné-de-Bais,LOUVIGNE-DE-BAIS,35161,Commune simple,1887,05,1,35,53,200039022
COMMUNE_0000000009743359,Sainte-Anne-d'Auray,SAINTE-ANNE-D'AURAY,56263,Commune simple,2827,01,1,56,53,200043123
COMMUNE_0000000009739032,Saint-Rivoal,SAINT-RIVOAL,29261,Commune simple,217,07,2,29,53,200067197
COMMUNE_0000000009737701,Trégarantec,TREGARANTEC,29288,Commune simple,622,15,1,29,53,242900793
COMMUNE_0000000009739459,Trédias,TREDIAS,22348,Commune simple,502,02,4,22,53,200069391
COMMUNE_0000000009742712,Hennebont,HENNEBONT,56083,Commune simple,15746,06,1,56,53,200042174
COMMUNE_0000000009737245,Lesneven,LESNEVEN,29124,Commune simple,7377,15,1,29,53,242900793
COMMUNE_0000000009743348,Saint-Gravé,SAINT-GRAVE,56218,Commune simple,728,16,3,56,53,245614383
COMMUNE_0000000009741048,Saint-Uniac,SAINT-UNIAC,35320,Commune simple,521,15,3,35,53,200038990
COMMUNE_0000000009741770,Berné,BERNE,56014,Commune simple,1562,02,2,56,53,245614417
COMMUNE_0000000009739457,Brusvily,BRUSVILY,22021,Commune simple,1158,08,1,22,53,200068989
COMMUNE_0000000009740265,Hédé-Bazouges,HEDE-BAZOUGES,35130,Commune simple,2278,14,4,35,53,243500733
COMMUNE_0000000009741738,Noyal-Châtillon-sur-Seiche,NOYAL-CHATILLON-SUR-SEICHE,35206,Commune simple,7631,04,3,35,53,243500139
COMMUNE_0000000009743013,La Gacilly,LA GACILLY,56061,Commune simple,3993,04,3,56,53,200066785
COMMUNE_0000000009739429,Landéan,LANDEAN,35142,Commune simple,1201,09,1,35,53,200072452
COMMUNE_0000000009738544,Andel,ANDEL,22002,Commune simple,1156,06,4,22,53,200069391
COMMUNE_0000000009739864,La Baussaine,LA BAUSSAINE,35017,Commune simple,675,06,4,35,53,243500733
COMMUNE_0000000009742337,La Selle-Guerchaise,LA SELLE-GUERCHAISE,35325,Commune simple,156,10,1,35,53,200039022
COMMUNE_0000000009739430,La Bazouge-du-Désert,LA BAZOUGE-DU-DESERT,35018,Commune simple,1065,09,1,35,53,200072452
COMMUNE_0000000009740250,La Selle-en-Luitré,LA SELLE-EN-LUITRE,35324,Commune simple,615,09,1,35,53,200072452
COMMUNE_0000000009741427,Bréhan,BREHAN,56024,Commune simple,2288,03,2,56,53,245614433
COMMUNE_0000000009739021,Saint-Servais,SAINT-SERVAIS,22328,Commune simple,418,03,2,22,53,200067981
COMMUNE_0000000009740298,Bon Repos sur Blavet,BON REPOS SUR BLAVET,22107,Commune simple,1241,23,2,22,53,242200715
COMMUNE_0000000009741410,Saint-Gonlay,SAINT-GONLAY,35277,Commune simple,379,16,3,35,53,243500550
COMMUNE_0000000009735244,Lanmodez,LANMODEZ,22111,Commune simple,403,27,3,22,53,200065928
COMMUNE_0000000009741449,Plonéis,PLONEIS,29173,Commune simple,2427,23,4,29,53,200068120
COMMUNE_0000000009739871,Guenroc,GUENROC,22069,Commune simple,217,02,1,22,53,200068989
COMMUNE_0000000009740671,Landujan,LANDUJAN,35143,Commune simple,917,15,3,35,53,200038990
COMMUNE_0000000009742709,Camors,CAMORS,56031,Commune simple,3099,14,1,56,53,200043123
COMMUNE_0000000009740261,Saint-Médard-sur-Ille,SAINT-MEDARD-SUR-ILLE,35296,Commune simple,1324,14,3,35,53,243500667
COMMUNE_0000000009743032,Landévant,LANDEVANT,56097,Commune simple,4044,14,1,56,53,200043123
COMMUNE_0000000009741769,Kernascléden,KERNASCLEDEN,56264,Commune simple,407,02,2,56,53,245614417
COMMUNE_0000000009739472,Bréhand,BREHAND,22015,Commune simple,1707,16,4,22,53,200069391
COMMUNE_0000000009742041,Pont-Péan,PONT-PEAN,35363,Commune simple,4335,04,3,35,53,243500139
COMMUNE_0000000009740272,Longaulnay,LONGAULNAY,35156,Commune simple,604,06,4,35,53,243500733
COMMUNE_0000000009744043,Île-d'Arz,ILE-D'ARZ,56088,Commune simple,287,20,3,56,53,200067932
COMMUNE_0000000009742074,Melgven,MELGVEN,29146,Commune simple,3405,08,4,29,53,242900769
COMMUNE_0000000009738108,Ruca,RUCA,22268,Commune simple,595,17,1,22,53,200068989
COMMUNE_0000000009741740,Chantepie,CHANTEPIE,35055,Commune simple,10232,20,3,35,53,243500139
COMMUNE_0000000009740692,Guerlédan,GUERLEDAN,22158,Commune simple,2498,10,4,22,53,200067460
